"state","retail.recreation","grocery.pharmacy","parks","transitstations","workplace","residential","date"
"Georgia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Hawaii",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Idaho",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Illinois",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Indiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Iowa",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Kansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Kentucky",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Louisiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Maine",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Maryland",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Massachusetts",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Michigan",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Minnesota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Mississippi",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Missouri",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Montana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Nebraska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Nevada",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"New Hampshire",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"New Jersey",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"New Mexico",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"New York",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"North Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"North Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Ohio",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Oklahoma",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Oregon",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Pennsylvania",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Rhode Island",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"South Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"South Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Tennessee",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Texas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Utah",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Vermont",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Washington",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"West Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Wisconsin",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Wyoming",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Alabama",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Alaska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Arizona",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Arkansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"California",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Colorado",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Connecticut",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Delaware",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Florida",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Georgia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Hawaii",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Idaho",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Illinois",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Indiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Iowa",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Kansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Kentucky",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Louisiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Maine",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Maryland",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Massachusetts",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Michigan",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Minnesota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Mississippi",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Missouri",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Montana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Nebraska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Nevada",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"New Hampshire",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"New Jersey",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"New Mexico",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"New York",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"North Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"North Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Ohio",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Oklahoma",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Oregon",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Pennsylvania",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Rhode Island",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"South Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"South Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Tennessee",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Texas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Utah",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Vermont",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Washington",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"West Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Wisconsin",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Wyoming",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-05
"Alabama",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Alaska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Arizona",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Arkansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"California",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Colorado",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Connecticut",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Delaware",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Florida",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Georgia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Hawaii",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Idaho",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Illinois",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Indiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Iowa",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Kansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Kentucky",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Louisiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Maine",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Maryland",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Massachusetts",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Michigan",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Minnesota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Mississippi",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Missouri",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Montana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Nebraska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Nevada",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"New Hampshire",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"New Jersey",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"New Mexico",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"New York",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"North Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"North Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Ohio",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Oklahoma",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Oregon",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Pennsylvania",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Rhode Island",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"South Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"South Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Tennessee",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Texas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Utah",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Vermont",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Washington",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"West Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Wisconsin",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Wyoming",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-06
"Alabama",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Alaska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Arizona",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Arkansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"California",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Colorado",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Connecticut",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Delaware",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Florida",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Georgia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Hawaii",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Idaho",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Illinois",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Indiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Iowa",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Kansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Kentucky",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Louisiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Maine",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Maryland",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
"Massachusetts",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-07
