"","school","cumulative_students","date","start","number_students","type","loc"
"81","ALLEN D NEASE SENIOR HIGH SCHOOL",42,"2020-11-21","2020-09-06",2628,"Public","FL"
"82","ALLEN PARK ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",998,"Public","FL"
"83","ALLEN PARK ELEMENTARY SCHOOL",3,"2020-11-21","2020-09-06",998,"Public","FL"
"84","ALOMA ELEMENTARY",1,"2020-11-21","2020-09-06",557,"Public","FL"
"85","ALONSO HIGH SCHOOL",11,"2020-10-24","2020-09-06",2582,"Public","FL"
"86","ALONSO HIGH SCHOOL",26,"2020-11-21","2020-09-06",2582,"Public","FL"
"87","ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL",2,"2020-10-24","2020-09-06",1716,"Public","FL"
"88","ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL",6,"2020-11-21","2020-09-06",1716,"Public","FL"
"89","ALPHA LEARNING ACADEMY",0,"2020-11-21","2020-09-06",164,"Private","FL"
"90","ALTA VISTA ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",751,"Public","FL"
"91","ALTA VISTA ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",545,"Public","FL"
"92","ALTA VISTA ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",751,"Public","FL"
"93","ALTA VISTA ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",545,"Public","FL"
"94","ALTA VISTA ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",751,"Public","FL"
"95","ALTA VISTA ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",545,"Public","FL"
"96","ALTA VISTA ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",751,"Public","FL"
"97","ALTA VISTA ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",545,"Public","FL"
"98","ALTAMONTE ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",711,"Public","FL"
"99","ALTAMONTE ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",711,"Public","FL"
"100","ALTHA PUBLIC SCHOOL",1,"2020-10-24","2020-09-06",635,"Public","FL"
"101","ALTHA PUBLIC SCHOOL",5,"2020-11-21","2020-09-06",635,"Public","FL"
"102","ALTURAS ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",366,"Public","FL"
"103","ALTURAS ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",366,"Public","FL"
"104","AMERICAN SENIOR HIGH SCHOOL",3,"2020-11-21","2020-09-06",2010,"Public","FL"
"105","AMIKIDS ORLANDO",1,"2020-10-24","2020-09-06",53,"Public","FL"
"106","AMIKIDS ORLANDO",1,"2020-11-21","2020-09-06",53,"Public","FL"
"107","AMOS P. GODBY HIGH SCHOOL",5,"2020-10-24","2020-09-06",1384,"Public","FL"
"108","AMOS P. GODBY HIGH SCHOOL",0,"2020-10-24","2020-09-06",1384,"Public","FL"
"109","AMOS P. GODBY HIGH SCHOOL",5,"2020-11-21","2020-09-06",1384,"Public","FL"
"110","AMOS P. GODBY HIGH SCHOOL",0,"2020-11-21","2020-09-06",1384,"Public","FL"
"111","ANCLOTE ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",556,"Public","FL"
"112","ANCLOTE ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",556,"Public","FL"
"113","ANCLOTE HIGH SCHOOL",0,"2020-10-24","2020-09-06",1184,"Public","FL"
"114","ANCLOTE HIGH SCHOOL",0,"2020-11-21","2020-09-06",1184,"Public","FL"
"115","ANDOVER ELEMENTARY",1,"2020-10-24","2020-09-06",835,"Public","FL"
"116","ANDOVER ELEMENTARY",2,"2020-11-21","2020-09-06",835,"Public","FL"
"117","ANDREW JACKSON HIGH SCHOOL",4,"2020-10-24","2020-09-06",659,"Public","FL"
"118","ANDREW JACKSON HIGH SCHOOL",8,"2020-11-21","2020-09-06",659,"Public","FL"
"119","ANDREW JACKSON MIDDLE SCHOOL",2,"2020-10-24","2020-09-06",549,"Public","FL"
"120","ANDREW JACKSON MIDDLE SCHOOL",2,"2020-11-21","2020-09-06",549,"Public","FL"
"121","ANDREWS HIGH SCHOOL",1,"2020-11-21","2020-09-06",302,"Public","FL"
"122","ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS",2,"2020-11-21","2020-09-06",56,"Private","FL"
"123","ANNA MARIA ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",251,"Public","FL"
"124","ANNABEL C. PERRY PK-8",0,"2020-10-24","2020-09-06",733,"Public","FL"
"125","ANNABEL C. PERRY PK-8",1,"2020-11-21","2020-09-06",733,"Public","FL"
"126","ANNETTE P. EDWINS ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",465,"Public","FL"
"127","ANNETTE P. EDWINS ELEMENTARY SCHOOL",6,"2020-11-21","2020-09-06",465,"Public","FL"
"128","ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",846,"Public","FL"
"129","ANNIE R. MORGAN ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",360,"Public","FL"
"130","ANNIE R. MORGAN ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",360,"Public","FL"
"131","ANNUNCIATION CATHOLIC ACADEMY",0,"2020-10-24","2020-09-06",507,"Private","FL"
"132","ANNUNCIATION CATHOLIC ACADEMY",2,"2020-11-21","2020-09-06",507,"Private","FL"
"133","ANONA ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",459,"Public","FL"
"134","ANTHONY ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",390,"Public","FL"
"135","ANTIOCH ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",946,"Public","FL"
"136","ANTIOCH ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",946,"Public","FL"
"137","APALACHEE ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",615,"Public","FL"
"138","APALACHICOLA BAY CHARTER SCHOOL",2,"2020-10-24","2020-09-06",353,"Public","FL"
"139","APALACHICOLA BAY CHARTER SCHOOL",3,"2020-11-21","2020-09-06",353,"Public","FL"
"140","APOLLO BEACH ELEMENTARY SCHOOL",3,"2020-10-24","2020-09-06",646,"Public","FL"
"141","APOLLO BEACH ELEMENTARY SCHOOL",4,"2020-11-21","2020-09-06",646,"Public","FL"
"142","APOLLO ELEMENTARY SCHOOL",3,"2020-11-21","2020-09-06",847,"Public","FL"
"143","APOLLO MIDDLE SCHOOL",0,"2020-11-21","2020-09-06",1399,"Public","FL"
"144","APOPKA HIGH",1,"2020-10-24","2020-09-06",3371,"Public","FL"
"145","APOPKA HIGH",4,"2020-11-21","2020-09-06",3371,"Public","FL"
"146","APOPKA MIDDLE",1,"2020-10-24","2020-09-06",1083,"Public","FL"
"147","APOPKA MIDDLE",3,"2020-11-21","2020-09-06",1083,"Public","FL"
"148","ARBOR RIDGE K-8",3,"2020-10-24","2020-09-06",789,"Public","FL"
"149","ARBOR RIDGE K-8",3,"2020-11-21","2020-09-06",789,"Public","FL"
"150","ARCHIMEDEAN ACADEMY",0,"2020-10-24","2020-09-06",633,"Public","FL"
"151","ARCHIMEDEAN ACADEMY",2,"2020-11-21","2020-09-06",633,"Public","FL"
"152","ARCHIMEDEAN ACADEMY",4,"2020-11-21","2020-09-06",633,"Public","FL"
"153","ARCHIMEDEAN MIDDLE CONSERVATORY",2,"2020-11-21","2020-09-06",327,"Public","FL"
"154","ARCHIMEDEAN UPPER CONSERVATORY",1,"2020-10-24","2020-09-06",328,"Public","FL"
"155","ARCHIMEDEAN UPPER CONSERVATORY",1,"2020-11-21","2020-09-06",328,"Public","FL"
"156","ARCOLA LAKE ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",540,"Public","FL"
"157","ARCOLA LAKE ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",540,"Public","FL"
"158","ARGYLE ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",685,"Public","FL"
"159","ARGYLE ELEMENTARY SCHOOL",4,"2020-11-21","2020-09-06",685,"Public","FL"
"160","ARK CHRISTIAN ACADEMY",0,"2020-10-24","2020-09-06",16,"Private","FL"
"161","ARK CHRISTIAN ACADEMY",1,"2020-11-21","2020-09-06",16,"Private","FL"
"162","ARLINGTON ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",237,"Public","FL"
"163","ARLINGTON ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",237,"Public","FL"
"164","ARLINGTON MIDDLE SCHOOL",1,"2020-11-21","2020-09-06",740,"Public","FL"
"165","ARMWOOD HIGH SCHOOL",1,"2020-10-24","2020-09-06",2205,"Public","FL"
"166","ARMWOOD HIGH SCHOOL",6,"2020-11-21","2020-09-06",2205,"Public","FL"
"167","ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS",1,"2020-11-21","2020-09-06",600,"Public","FL"
"168","ARTHUR I MEYER JEWISH ACADEMY",1,"2020-11-21","2020-09-06",143,"Private","FL"
"169","ARVIDA MIDDLE SCHOOL",1,"2020-10-24","2020-09-06",1430,"Public","FL"
"170","ARVIDA MIDDLE SCHOOL",3,"2020-11-21","2020-09-06",1430,"Public","FL"
"171","ASCEND CAREER ACADEMY",0,"2020-11-21","2020-09-06",228,"Public","FL"
"172","ASCENSION CATHOLIC SCHOOL",1,"2020-10-24","2020-09-06",431,"Private","FL"
"173","ASCENSION CATHOLIC SCHOOL",1,"2020-10-24","2020-09-06",431,"Private","FL"
"174","ASCENSION CATHOLIC SCHOOL",2,"2020-11-21","2020-09-06",431,"Private","FL"
"175","ASCENSION CATHOLIC SCHOOL",2,"2020-11-21","2020-09-06",431,"Private","FL"
"176","ASHTON ELEMENTARY SCHOOL",4,"2020-11-21","2020-09-06",1060,"Public","FL"
"177","ASSUMPTION CATHOLIC SCHOOL",1,"2020-11-21","2020-09-06",536,"Private","FL"
"178","ASTATULA ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",655,"Public","FL"
"179","ASTATULA ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",655,"Public","FL"
"180","ASTORIA PARK ELEMENTARY SCHOOL",4,"2020-10-24","2020-09-06",591,"Public","FL"
"181","ASTORIA PARK ELEMENTARY SCHOOL",5,"2020-11-21","2020-09-06",591,"Public","FL"
"182","ASTRONAUT HIGH SCHOOL",5,"2020-10-24","2020-09-06",1074,"Public","FL"
"183","ASTRONAUT HIGH SCHOOL",10,"2020-11-21","2020-09-06",1074,"Public","FL"
"184","ATHENIAN ACADEMY CHARTER SCHOOL",1,"2020-10-24","2020-09-06",13,"Public","FL"
"185","ATHENIAN ACADEMY CHARTER SCHOOL",1,"2020-11-21","2020-09-06",13,"Public","FL"
"186","ATLANTIC BEACH ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",489,"Public","FL"
"187","ATLANTIC BEACH ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",489,"Public","FL"
"188","ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEAC",3,"2020-10-24","2020-09-06",494,"Private","FL"
"189","ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEAC",4,"2020-11-21","2020-09-06",494,"Private","FL"
"190","ATLANTIC COAST HIGH SCHOOL",4,"2020-10-24","2020-09-06",2269,"Public","FL"
"191","ATLANTIC COAST HIGH SCHOOL",5,"2020-11-21","2020-09-06",2269,"Public","FL"
"192","ATLANTIC HIGH SCHOOL",1,"2020-10-24","2020-09-06",2303,"Public","FL"
"193","ATLANTIC HIGH SCHOOL",1,"2020-10-24","2020-09-06",1348,"Public","FL"
"194","ATLANTIC HIGH SCHOOL",3,"2020-10-24","2020-09-06",2303,"Public","FL"
"195","ATLANTIC HIGH SCHOOL",3,"2020-10-24","2020-09-06",1348,"Public","FL"
"196","ATLANTIC HIGH SCHOOL",1,"2020-11-21","2020-09-06",2303,"Public","FL"
"197","ATLANTIC HIGH SCHOOL",1,"2020-11-21","2020-09-06",1348,"Public","FL"
"198","ATLANTIC HIGH SCHOOL",7,"2020-11-21","2020-09-06",2303,"Public","FL"
"199","ATLANTIC HIGH SCHOOL",7,"2020-11-21","2020-09-06",1348,"Public","FL"
"200","ATLANTIC MONTESSORI CHARTER SCHOOL",1,"2020-10-24","2020-09-06",137,"Public","FL"
"201","ATLANTIC MONTESSORI CHARTER SCHOOL",1,"2020-11-21","2020-09-06",137,"Public","FL"
"202","ATLANTIC MONTESSORI CHARTER SCHOOL WEST CAMPUS",0,"2020-11-21","2020-09-06",150,"Public","FL"
"203","ATLANTIC TECHNICAL COLLEGE",1,"2020-10-24","2020-09-06",674,"Public","FL"
"204","ATLANTIC TECHNICAL COLLEGE",3,"2020-11-21","2020-09-06",674,"Public","FL"
"205","ATLANTIC WEST ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",719,"Public","FL"
"206","ATLANTIS ACADEMY",1,"2020-10-24","2020-09-06",151,"Private","FL"
"207","ATLANTIS ACADEMY",1,"2020-10-24","2020-09-06",163,"Private","FL"
"208","ATLANTIS ACADEMY",0,"2020-11-21","2020-09-06",151,"Private","FL"
"209","ATLANTIS ACADEMY",0,"2020-11-21","2020-09-06",163,"Private","FL"
"210","ATLANTIS ACADEMY",1,"2020-11-21","2020-09-06",151,"Private","FL"
"211","ATLANTIS ACADEMY",1,"2020-11-21","2020-09-06",163,"Private","FL"
"212","ATLANTIS ACADEMY",1,"2020-11-21","2020-09-06",151,"Private","FL"
"213","ATLANTIS ACADEMY",1,"2020-11-21","2020-09-06",163,"Private","FL"
"214","ATLANTIS ELEMENTARY SCHOOL",3,"2020-10-24","2020-09-06",713,"Public","FL"
"215","ATLANTIS ELEMENTARY SCHOOL",3,"2020-11-21","2020-09-06",713,"Public","FL"
"216","ATTUCKS MIDDLE SCHOOL",2,"2020-11-21","2020-09-06",806,"Public","FL"
"217","ATWATER ELEMENTARY",2,"2020-10-24","2020-09-06",665,"Public","FL"
"218","ATWATER ELEMENTARY",2,"2020-11-21","2020-09-06",665,"Public","FL"
"219","AUBURNDALE CENTRAL ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",413,"Public","FL"
"220","AUBURNDALE CENTRAL ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",413,"Public","FL"
"221","AUBURNDALE ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",824,"Public","FL"
"222","AUBURNDALE SENIOR HIGH SCHOOL",4,"2020-10-24","2020-09-06",1654,"Public","FL"
"223","AUBURNDALE SENIOR HIGH SCHOOL",9,"2020-11-21","2020-09-06",1654,"Public","FL"
"224","AUDUBON ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",536,"Public","FL"
"225","AUDUBON ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",536,"Public","FL"
"226","AUDUBON PARK SCHOOL",0,"2020-10-24","2020-09-06",796,"Public","FL"
"227","AUDUBON PARK SCHOOL",1,"2020-11-21","2020-09-06",796,"Public","FL"
"228","AVALON ELEMENTARY",4,"2020-10-24","2020-09-06",848,"Public","FL"
"229","AVALON ELEMENTARY",4,"2020-11-21","2020-09-06",848,"Public","FL"
"230","AVALON ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",479,"Public","FL"
"231","AVALON ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",479,"Public","FL"
"232","AVALON MIDDLE",8,"2020-10-24","2020-09-06",1023,"Public","FL"
"233","AVALON MIDDLE",9,"2020-11-21","2020-09-06",1023,"Public","FL"
"234","AVALON MIDDLE SCHOOL",1,"2020-10-24","2020-09-06",786,"Public","FL"
"235","AVALON MIDDLE SCHOOL",3,"2020-11-21","2020-09-06",786,"Public","FL"
"236","AVANT GARDE ACADEMY OF BROWARD",0,"2020-11-21","2020-09-06",578,"Public","FL"
"237","AVENTURA CITY OF EXCELLENCE SCHOOL",4,"2020-11-21","2020-09-06",1025,"Public","FL"
"238","AVENTURA WATERWAYS K-8 CENTER",1,"2020-10-24","2020-09-06",2133,"Public","FL"
"239","AVENTURA WATERWAYS K-8 CENTER",5,"2020-11-21","2020-09-06",2133,"Public","FL"
"240","AVON ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",606,"Public","FL"
"241","AVON ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",606,"Public","FL"
"242","AVON PARK HIGH SCHOOL",4,"2020-10-24","2020-09-06",1085,"Public","FL"
"243","AVON PARK HIGH SCHOOL",13,"2020-11-21","2020-09-06",1085,"Public","FL"
"244","AVON PARK MIDDLE SCHOOL",3,"2020-11-21","2020-09-06",632,"Public","FL"
"245","AZALEA ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",609,"Public","FL"
"246","AZALEA ELEMENTARY SCHOOL",3,"2020-11-21","2020-09-06",609,"Public","FL"
"247","AZALEA MIDDLE SCHOOL",0,"2020-11-21","2020-09-06",835,"Public","FL"
"248","AZALEA PARK ELEMENTARY",2,"2020-10-24","2020-09-06",585,"Public","FL"
"249","AZALEA PARK ELEMENTARY",4,"2020-11-21","2020-09-06",585,"Public","FL"
"250","BAGDAD ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",444,"Public","FL"
"251","BAGDAD ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",444,"Public","FL"
"252","BAIR MIDDLE SCHOOL",1,"2020-10-24","2020-09-06",902,"Public","FL"
"253","BAIR MIDDLE SCHOOL",1,"2020-11-21","2020-09-06",902,"Public","FL"
"254","BAK MIDDLE SCHOOL OF THE ARTS",4,"2020-11-21","2020-09-06",1381,"Public","FL"
"255","BAKER COUNTY MIDDLE SCHOOL",8,"2020-10-24","2020-09-06",1195,"Public","FL"
"256","BAKER COUNTY MIDDLE SCHOOL",11,"2020-11-21","2020-09-06",1195,"Public","FL"
"257","BAKER COUNTY SENIOR HIGH SCHOOL",30,"2020-10-24","2020-09-06",1385,"Public","FL"
"258","BAKER COUNTY SENIOR HIGH SCHOOL",44,"2020-11-21","2020-09-06",1385,"Public","FL"
"259","BAKER SCHOOL",8,"2020-10-24","2020-09-06",1496,"Public","FL"
"260","BAKER SCHOOL",17,"2020-11-21","2020-09-06",1496,"Public","FL"
"261","BALDWIN MIDDLE-SENIOR HIGH SCHOOL",5,"2020-10-24","2020-09-06",1241,"Public","FL"
"262","BALDWIN MIDDLE-SENIOR HIGH SCHOOL",12,"2020-11-21","2020-09-06",1241,"Public","FL"
"263","BALDWIN PARK ELEMENTARY",3,"2020-10-24","2020-09-06",856,"Public","FL"
"264","BALDWIN PARK ELEMENTARY",3,"2020-11-21","2020-09-06",856,"Public","FL"
"265","BALLARD ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",438,"Public","FL"
"266","BALLAST POINT ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",518,"Public","FL"
"267","BALLAST POINT ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",518,"Public","FL"
"268","BANYAN CREEK ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",994,"Public","FL"
"269","BANYAN CREEK ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",994,"Public","FL"
"270","BANYAN ELEMENTARY SCHOOL",4,"2020-11-21","2020-09-06",612,"Public","FL"
"271","BANYAN ELEMENTARY SCHOOL",4,"2020-11-21","2020-09-06",332,"Public","FL"
