State,State_Abbr,Status,Details,Disclaimer
Pennsylvania,PA,Varies by school/district/dependent on local health authorities,"State guidance allows school districts to decide whether they will use in-person or remote instruction, or a mix of both.  Many school boards are still voting on their reopening plans throughout August, and some have requested additional guidance from the state.",
Puerto Rico,PR,State ordered closure in effect (including states where openings are delayed),"On July 22, Puerto Rico's education department announced that it would offer virtual classes starting Aug. 17, but that schools would not reopen for in-person classes until Sept. 17.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
Rhode Island,RI,State ordered closure in effect (including states where openings are delayed),"A final announcement on whether it is safe for schools to reopen for in-person instruction is expected the week of Aug. 31. Gov. Gina Raimondo has pushed back the start of classes until Sept. 14, two weeks later than originally planned.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
South Carolina,SC,Varies by school/district/dependent on local health authorities,"Each of the 81 districts in the state has had its reopening plans approved by the state department of education, but only 1 in 5 plan to open full-time five days a week. Four plan to start with fully remote instruction. In July, Gov. Henry McMaster urged all districts to offer a typical full-time schedule, but Molly Spearman, the education superintendent, said she disagreed with that edict and would approve ""high quality"" plans that had safety at the forefront.",
South Dakota,SD,Varies by school/district/dependent on local health authorities,South Dakota's state education department issued guidance that gives discretion to local districts to set restart plans in consultation with local health officials. It recommends flexible plans that prioritize face-to-face instruction.,
Tennessee,TN,Varies by school/district/dependent on local health authorities,Districts will decide whether to open school buildings. The state department of education's guidance also provides a framework that districts can use to assess risk and decide when it would be safe to reopen.,
Texas,TX,State-ordered in-person instruction available part-time or full-time*,"School districts must provide daily, on-campus learning, however school systems can temporarily limit on-campus instruction for the first four weeks of school and beyond that with a waiver.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
Utah,UT,Varies by school/district/dependent on local health authorities,"The Utah state board of education released a set of minimum requirements for local school districts to meet before reopening schools for in-person instruction. By Aug. 1, districts must create and publicize plans for resuming in-person learning that address schedules, hygiene and safety, monitoring schools, ""containing potential outbreaks"" and (if necessary) temporarily closing schools again, among other areas.",
Vermont,VT,State ordered closure in effect (including states where openings are delayed),"Gov. Phil Scott issued a July 29 executive order delaying the start of the school year to Sept. 8 for all public and independent schools. The state’s education agency and health department are also recommending full-time in-person learning “as soon as practical,” especially for students in Pre-K through Grade 5. Local districts will still decide how they will reopen.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
Virginia,VA,Only hybrid or remote instruction allowed,"The state is currently requiring that in-person instruction be accompanied by strict social distancing measures, which means many districts will have to blend remote and face-to-face learning. But Gov. Ralph Northam also said Virginia won't reopen schools if infection rates start to rise, as is happening in some regions of the state.",
Washington,WA,Varies by school/district/dependent on local health authorities,"State officials announced Aug. 6 that they recommend schools in areas with high rates of new COVID-19 cases reopen with full-time distance learning for nearly all students. Schools in areas with moderate rates of virus transmission should consider opening buildings only for elementary students, officials said, and districts in areas with low transmission should begin hybrid instruction for middle and high school students. The state's education department earlier this summer urged all schools to reopen for some in-person learning, but the persistence of new COVID-19 cases forced a more cautious set of recommendations for local decisions, Gov. Jay Inslee said.",
West Virginia,WV,State ordered closure in effect (including states where openings are delayed),"Gov. Jim Justice has pushed the start of schools from August to a tentative start date of Sept. 8. The goal is to have in-person learning five days a week, but individual districts are formulating the details of such a plan.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
Wisconsin,WI,Varies by school/district/dependent on local health authorities,"Districts will decide whether to return to full in-person instruction, stick to remote learning, or go with a hybrid model. The Wisconsin Department of Public Instruction's guidance provides a list of considerations and scenarios as districts develop their plans based on infection rates in their area.",
Wyoming,WY,Varies by school/district/dependent on local health authorities,The state's department of education is asking each district by Aug. 3 to send a detailed plan on how they will reopen their schools.,
