Country,Type,Event,Date effective,Link,,
Norway,Public events,The Directorate of Health bans all non-necessary social contact.,12.03.2020,https://www.fhi.no/en/news/2020/norwegian-directorate-of-health-implements-the-following-today---from-6-p.m/,,
Norway,Lockdown,Only people living together are allowed outside together. Everyone has to keep a 2m distance.,24.03.2020,https://translate.google.com/translate?sl=no&tl=en&u=https%3A%2F%2Fwww.nrk.no%2Fnorge%2Ffolkehelseinstituttet-mener-23.000-kan-vaere-smittet-1.14958149,,
Norway,Social distancing encouraged,The Directorate of Health advises against all travelling and non-necessary social contacts.,16.03.2020,https://www.fhi.no/en/news/2020/norwegian-directorate-of-health-implements-the-following-today---from-6-p.m/,,
Norway,Self-isolating if ill,Advice to self-isolate for 7 days if experiencing a cough or fever symptoms.,15.03.2020,https://www.regjeringen.no/en/aktuelt/the-government-is-establishing-clear-quarantine-and-isolation-rules/id2693647/,,
Spain,Schools + Universities,Nationwide school closures.,13.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain,,
Spain,Public events,Banning of all public events by lockdown.,14.03.2020,https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4807,,
Spain,Lockdown,,14.03.2020,https://www.boe.es/eli/es/rd/2020/03/14/463/con,,
Spain,Social distancing encouraged,Advice on social distancing and working remotely from home. ,09.03.2020,https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806,used to say 12/3/2020,
Spain,Self-isolating if ill,,17.03.2020,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/ciudadania.htm,,
Sweden,Schools + Universities,Colleges and upper secondary schools shut. 18/3/2020 only 48% closed,17.03.2090,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/mars/larosaten-och-gymnasieskolor-uppmanas-nu-att-bedriva-distansundervisning,,
Sweden,Public events,Since March 29 the limit is 50 persons.,29.03.2020,https://www.visitstockholm.com/good-to-know/coronavirus/,,
Sweden,Lockdown,No lockdown occured.,17.03.2090,,,
Sweden,Social distancing encouraged,"People even with mild symptoms told to limit social contact, encouragement to work from home.",16.03.2020,https://sverigesradio.se/sida/artikel.aspx?programid=2054&artikel=7430511,,
Sweden,Self-isolating if ill,,10.03.2020,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/mars/flera-tecken-pa-samhallsspridning-av-covid-19-i-sverige/,,
Switzerland,Schools + Universities,No in person teaching until 4th of April.,14.03.2020,https://www.bag.admin.ch/bag/de/home/das-bag/aktuell/medienmitteilungen.msg-id-78437.html,,
Switzerland,Public events,The government bans events >100 people.,13.03.2020,https://www.bag.admin.ch/bag/fr/home/das-bag/aktuell/medienmitteilungen.msg-id-78437.html,,
Switzerland,Lockdown,Gatherings of more than 5 people are banned.,20.03.2020,https://www.bag.admin.ch/bag/de/home/das-bag/aktuell/medienmitteilungen.msg-id-78513.html,,
Switzerland,Social distancing encouraged,Advice on keeping distance. All business where this cannot be realised have been closed in all states (kantons).,16.03.2020,https://www.bag.admin.ch/bag/de/home/das-bag/aktuell/medienmitteilungen.msg-id-78454.html,,
Switzerland,Self-isolating if ill,Advice to self-isolate if experiencing a cough or fever symptoms.,02.03.2020,https://www.bag.admin.ch/bag/de/home/das-bag/aktuell/medienmitteilungen.msg-id-78304.html,,
United_Kingdom,Schools + Universities,"Nationwide school closure. Childminders, nurseries and sixth forms are told to follow the guidance.",21.03.2020,https://www.gov.uk/government/news/schools-colleges-and-early-years-settings-to-close,https://www.gov.uk/government/collections/coronavirus-covid-19-guidance-for-schools-and-other-educational-settings,
United_Kingdom,Public events,Implemented with lockdown.,24.03.2020,https://www.gov.uk/government/speeches/pm-address-to-the-nation-on-coronavirus-23-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/874742/Full_guidance_on_staying_at_home_and_away_from_others__1_.pdf,
United_Kingdom,Lockdown,Gatherings of more than 2 people not from the same household banned and police-enforceable.,24.03.2020,https://www.gov.uk/government/speeches/pm-address-to-the-nation-on-coronavirus-23-march-2020,,
United_Kingdom,Social distancing encouraged,"Advice to avoid pubs, clubs, theatres and other public institutions.",16.03.2020,https://www.telegraph.co.uk/global-health/science-and-disease/coronavirus-news-uk-latest-update-covid-19-death-toll-cases/,,
United_Kingdom,Self-isolating if ill,Advice to self-isolate for 7 days if experiencing a cough or fever symptoms.,12.03.2020,https://www.bbc.co.uk/news/uk-51857856,,
Greece,Schools + Universities,Nationwide closure of educational institutions,11.03.2020,https://www.kathimerini.gr/1068505/article/epikairothta/ellada/kleinoyn-gia-dyo-evdomades-sxoleia-panepisthmia-paidikoi-sta8moi-kai-frontisthria,Lucia,
Greece,Public events,Ban of gatherings of more than 10 people,19.03.2020,https://www.garda.com/crisis24/news-alerts/322026/greece-prime-minister-bans-mass-gatherings-due-to-covid-19-march-11-update-5,Lucia,"(larger mass gatherings banned before, but couldn't get a clear start date)"
Greece,Lockdown,Ban on non-essential transport and movement across the country. Police enforcing restrictions with fines.,23.03.2020,https://www.in.gr/2020/03/22/greece/apagoreysi-kykloforias-analytikos-odigos-pou-tha-epitrepetai-metakinisi-ti-tha-isxysei-gia-tous-ergazomenous/,Lucia,(weddings and ceremonies still allowed under conditions provided by law)
Greece,Social distancing encouraged,"In supermarkets, pharmacies and other essentials keep 2mt distance",16.03.2020,https://www.news247.gr/epixeiriseis/koronoios-elegchos-eisodoy-sta-soyper-market-apo-deytera.7602282.html,Lucia,
Greece,Self-isolating if ill,Isolate at home if showing mild symptoms or fever,09.03.2020,http://www.ekathimerini.com/250416/article/ekathimerini/news/with-covid-19-cases-at-84-those-with-symptoms-urged-to-stay-home,Lucia,
Greece,Closure of cultural institutions,"closure of Cinemas, theaters, theaters, Libraries, Museums, archaeological and historical sites",14.03.2020,https://eody.gov.gr/anastoli-leitoyrgias-meta-apo-eisigisi-tis-epitropis-empeirognomonon-toy-ypoyrgeioy-ygeias/,Lucia,
Greece,Closure of restaurants,"closure of malls, cafes, bars and food outlets",14.03.2020,http://www.ekathimerini.com/250618/article/ekathimerini/news/malls-cafes-bars-eateries-to-close-as-coronavirus-cases-rise-to-190,Lucia,
Greece,Advice to work from home,Govt endorses flexible working hours and teleworking,10.03.2020,http://en.protothema.gr/greek-government-plans-flexible-working-hours-and-telework-to-battle-coronavirus/,Lucia,"(not specifically working from home, but allows workers to avoid rush hour travel and to work from home if child is home from school or in the event of self isolation)"
Greece,Keep distance from others,"Video from Greek government recommending keeping 1m distance (27 secs in) ""κρατάμε απόσταση τουλάχιστον 1 μέτρου από άλλους και ιδιαίτερα όσους βήχουν, φτέρνίξονται ή έχουν πυρετό"" = ""keep a distance of at least 1 meter from others and especially those who cough, sneeze or have a fever""",25.02.2020,https://government.gov.gr/aples-ke-chrisimes-odigies-gia-tin-prostasia-mas-apo-ton-koronoio/,Rebecca,
Portugal,Schools + Universities,Nationwide school closures.,14.03.2020,https://covid19estamoson.gov.pt/wp-content/uploads/2020/03/20200313-Suspens%C3%86o-de-todas-as-atividades-letivas-e-n%C3%86o-letivas-com-presen%E2%80%A1a-de-estudantes-em-todas-as-institui%E2%80%A1a%CC%88es-de-Ensino-Superior.pdf,Rebecca,
Portugal,Public events,Gatherings of more than 100 people banned.,12.03.2020,https://www.barrons.com/news/portugal-bans-gatherings-of-more-than-100-due-to-coronavirus-01584292204,Rebecca,
Portugal,Lockdown,"State of emergency declared on the 18th and new measures defined on the 19th, to come into place on 00:00 of 22nd March",22.03.2020,https://www.politico.eu/article/portugal-quarantine-measures-coronavirus-covid19-antonio-costa-shutdown-state-of-emergency/,Rebecca,"(20200319 Communiqué of the Council of Ministers - Measures approved by the Council of Ministers on March 19, 2020) ""Decree takes effect on March 22 00:00"""
Portugal,Social distancing encouraged,"Capacity restrictions of entry to bars and restaurants, encouraged to limit frequency of visits to supermarkets/gyms/public services. Nightclubs closed.",12.03.2020,https://covid19estamoson.gov.pt/wp-content/uploads/2020/03/20200312-Medidas-extraordin-rias-de-conten%E2%80%A1%C3%86o-e-mitiga%E2%80%A1%C3%86o-do-coronav%C2%A1rus-Conselho-de-Ministros-de-12-de-mar%E2%80%A1o-de-2020.pdf,Rebecca,
Portugal,Self-isolating if ill,Mandatory isolation is imposed for people who are sick or being monitored by health authorities.,19.03.2020,https://www.politico.eu/article/portugal-quarantine-measures-coronavirus-covid19-antonio-costa-shutdown-state-of-emergency/,Rebecca,
Portugal,Closure of cultural institutions,"The closure of certain types of facilities and establishments (such as, for example, those intended for recreational, cultural, sporting and catering activities, among others)",22.03.2020,https://covid19estamoson.gov.pt/documentacao/comunicados/,Rebecca,"Approved by ministers on March 19 but ""Decree takes effect on March 22 00:00"""
Portugal,Closure of restaurants,"The closure of certain types of facilities and establishments (such as, for example, those intended for recreational, cultural, sporting and catering activities, among others)",22.03.2020,https://covid19estamoson.gov.pt/documentacao/comunicados/,Rebecca,"Approved by ministers on March 19 but ""Decree takes effect on March 22 00:00"""
Portugal,Work from home,É obrigatória a adoção do regime de teletrabalho sempre que as funções em causa o permitam - google translation: It is mandatory to adopt the teleworking regime whenever the functions in question allow,22.03.2020,https://covid19estamoson.gov.pt/documentacao/comunicados/,Rebecca,"Approved by ministers on March 19 but ""Decree takes effect on March 22 00:00"""
Portugal,Stay at home,"States that everyone who isn't in mandatory confinement or an essential worker should only go out in public for essential reasons e.g. health reasons, acquisition of goods, caring for the vulnerable, exercise.",22.03.2020,https://covid19estamoson.gov.pt/documentacao/comunicados/,Rebecca,"Approved by ministers on March 19 but ""Decree takes effect on March 22 00:00"""
Portugal,Keep distance from others,"Transmission prevention measures in public service establishments: ""Maintain distance and space between citizens in all situations"" and ""Ensure that counter service is provided at the appropriate distance (at least 1 meter, ideally 2)""",17.03.2020,https://covid19.min-saude.pt/wp-content/uploads/2020/03/i026012.pdf,Rebecca,
Portugal,Public gatherings,Gatherings of more than 5 people prohibited (except those with family ties).,02.04.2020,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=339,Rebecca,
Netherlands,Schools + Universities,exemption for children of essential workers,14.03.2020,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/15/aanvullende-maatregelen-onderwijs-horeca-sport,Pablo,
Netherlands,Public events,Public gatherings >100 people,12.03.2020,https://www.iq-mag.net/2020/03/dutch-government-bans-events-100-people/#.XoxumC2Q3yk,Pablo,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/12/nieuwe-maatregelen-tegen-verspreiding-coronavirus-in-nederland
Netherlands,Social distancing encouraged,"Social distancing and self-isolation for people with flue-like symptoms as of Marc 12 for the whole country, previously only for the Noord-Brabant province",12.03.2020,https://www.rivm.nl/en/news/expansion-of-coronavirus-measures,Pablo,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/12/nieuwe-maatregelen-tegen-verspreiding-coronavirus-in-nederland
Netherlands,Lockdown,"Intelligent lockdown, people are still allowed to meet if keeping their distance",23.03.2020,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/24/aanvullende-maatregelen-23-maart,,
Netherlands,Self-isolating if ill,"Social distancing and self-isolation for people with flue-like symptoms as of Marc 12 for the whole country, previously only for the Noord-Brabant province",12.03.2020,https://www.rivm.nl/en/news/expansion-of-coronavirus-measures,Pablo,
Netherlands,Closure of cultural institutions,"museums, concert halls and theatres were closed following the ban of large gatherings",12.03.2020,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/12/nieuwe-maatregelen-tegen-verspreiding-coronavirus-in-nederland,Lucia,
Netherlands,Closure of restaurants,"Schools, restaurants, gyms, sports venues, sex clubs, etc. closed as of 18:00hrs March 15",15.03.2020,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/15/aanvullende-maatregelen-onderwijs-horeca-sport,,
Netherlands,Advice to work from home,,12.03.2020,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/12/nieuwe-maatregelen-tegen-verspreiding-coronavirus-in-nederland,Lucia,
