regiao,estado,data,casosNovos,casosAcumulados,obitosNovos,obitosAcumulados
Norte,AC,2020-02-02,0,0,0,0
Norte,AC,2020-02-03,0,0,0,0
Norte,AC,2020-02-04,0,0,0,0
Norte,AC,2020-02-05,0,0,0,0
Norte,AC,2020-02-06,0,0,0,0
Norte,AC,2020-02-07,0,0,0,0
Norte,AC,2020-02-08,0,0,0,0
Norte,AC,2020-02-09,0,0,0,0
Norte,AC,2020-02-10,0,0,0,0
Norte,AC,2020-02-11,0,0,0,0
Norte,AC,2020-02-12,0,0,0,0
Norte,AC,2020-02-13,0,0,0,0
Norte,AC,2020-02-14,0,0,0,0
Norte,AC,2020-02-15,0,0,0,0
Norte,AC,2020-02-16,0,0,0,0
Norte,AC,2020-02-17,0,0,0,0
Norte,AC,2020-02-18,0,0,0,0
Norte,AC,2020-02-19,0,0,0,0
Norte,AC,2020-02-20,0,0,0,0
Norte,AC,2020-02-21,0,0,0,0
Norte,AC,2020-02-22,0,0,0,0
Norte,AC,2020-02-23,0,0,0,0
Norte,AC,2020-02-24,0,0,0,0
Norte,AC,2020-02-25,0,0,0,0
Norte,AC,2020-02-26,0,0,0,0
Norte,AC,2020-02-27,0,0,0,0
Norte,AC,2020-02-28,0,0,0,0
Norte,AC,2020-02-29,0,0,0,0
Norte,AC,2020-03-01,0,0,0,0
Norte,AC,2020-03-02,0,0,0,0
Norte,AC,2020-03-03,0,0,0,0
Norte,AC,2020-03-04,0,0,0,0
Norte,AC,2020-03-05,0,0,0,0
Norte,AC,2020-03-06,0,0,0,0
Norte,AC,2020-03-07,0,0,0,0
Norte,AC,2020-03-08,0,0,0,0
Norte,AC,2020-03-09,0,0,0,0
Norte,AC,2020-03-10,0,0,0,0
Norte,AC,2020-03-11,0,0,0,0
Norte,AC,2020-03-12,0,0,0,0
Norte,AC,2020-03-13,0,0,0,0
Norte,AC,2020-03-14,0,0,0,0
Norte,AC,2020-03-15,0,0,0,0
Norte,AC,2020-03-16,0,0,0,0
Norte,AC,2020-03-17,0,0,0,0
Norte,AC,2020-03-18,0,0,0,0
Norte,AC,2020-03-19,3,3,0,0
Norte,AC,2020-03-20,4,7,0,0
Norte,AC,2020-03-21,2,9,0,0
Norte,AC,2020-03-22,2,11,0,0
Norte,AC,2020-03-23,0,11,0,0
Norte,AC,2020-03-24,6,17,0,0
Norte,AC,2020-03-25,6,23,0,0
Norte,AC,2020-03-26,1,24,0,0
Norte,AC,2020-03-27,1,25,0,0
Norte,AC,2020-03-28,0,25,0,0
Norte,AC,2020-03-29,9,34,0,0
Norte,AC,2020-03-30,8,42,0,0
Norte,AC,2020-03-31,0,42,0,0
Norte,AC,2020-04-01,1,43,0,0
Norte,AC,2020-04-02,0,43,0,0
Norte,AC,2020-04-03,3,46,0,0
Norte,AC,2020-04-04,0,46,0,0
Norte,AC,2020-04-05,2,48,0,0
Norte,AC,2020-04-06,2,50,0,0
Norte,AC,2020-04-07,0,50,1,1
Norte,AC,2020-04-08,4,54,1,2
Norte,AC,2020-04-09,8,62,0,2
Norte,AC,2020-04-10,8,70,0,2
Norte,AC,2020-04-11,2,72,0,2
Norte,AC,2020-04-12,5,77,0,2
Norte,AC,2020-04-13,13,90,1,3
Norte,AC,2020-04-14,9,99,0,3
Norte,AC,2020-04-15,2,101,0,3
Norte,AC,2020-04-16,9,110,2,5
Norte,AC,2020-04-17,25,135,0,5
Norte,AC,2020-04-18,7,142,0,5
Norte,AC,2020-04-19,21,163,1,6
Norte,AC,2020-04-20,13,176,2,8
Norte,AC,2020-04-21,19,195,0,8
Norte,AC,2020-04-22,19,214,0,8
Norte,AC,2020-04-23,13,227,2,10
Norte,AC,2020-04-24,7,234,1,11
Norte,AC,2020-04-25,24,258,0,11
Norte,AC,2020-04-26,21,279,0,11
Norte,AC,2020-04-27,0,279,3,14
Norte,AC,2020-04-28,32,311,2,16
Norte,AC,2020-04-29,43,354,1,17
Norte,AC,2020-04-30,50,404,2,19
Norte,AC,2020-05-01,82,486,0,19
Norte,AC,2020-05-02,67,553,2,21
Norte,AC,2020-05-03,104,657,3,24
Norte,AC,2020-05-04,76,733,4,28
Norte,AC,2020-05-05,84,817,1,29
Norte,AC,2020-05-06,126,943,4,33
Norte,AM,2020-01-30,0,0,0,0
Norte,AM,2020-01-31,0,0,0,0
Norte,AM,2020-02-01,0,0,0,0
Norte,AM,2020-02-02,0,0,0,0
Norte,AM,2020-02-03,0,0,0,0
Norte,AM,2020-02-04,0,0,0,0
Norte,AM,2020-02-05,0,0,0,0
Norte,AM,2020-02-06,0,0,0,0
Norte,AM,2020-02-07,0,0,0,0
Norte,AM,2020-02-08,0,0,0,0
Norte,AM,2020-02-09,0,0,0,0
Norte,AM,2020-02-10,0,0,0,0
Norte,AM,2020-02-11,0,0,0,0
Norte,AM,2020-02-12,0,0,0,0
Norte,AM,2020-02-13,0,0,0,0
Norte,AM,2020-02-14,0,0,0,0
Norte,AM,2020-02-15,0,0,0,0
Norte,AM,2020-02-16,0,0,0,0
Norte,AM,2020-02-17,0,0,0,0
Norte,AM,2020-02-18,0,0,0,0
Norte,AM,2020-02-19,0,0,0,0
Norte,AM,2020-02-20,0,0,0,0
Norte,AM,2020-02-21,0,0,0,0
Norte,AM,2020-02-22,0,0,0,0
Norte,AM,2020-02-23,0,0,0,0
Norte,AM,2020-02-24,0,0,0,0
Norte,AM,2020-02-25,0,0,0,0
Norte,AM,2020-02-26,0,0,0,0
Norte,AM,2020-02-27,0,0,0,0
Norte,AM,2020-02-28,0,0,0,0
Norte,AM,2020-02-29,0,0,0,0
Norte,AM,2020-03-01,0,0,0,0
Norte,AM,2020-03-02,0,0,0,0
Norte,AM,2020-03-03,0,0,0,0
Norte,AM,2020-03-04,0,0,0,0
Norte,AM,2020-03-05,0,0,0,0
Norte,AM,2020-03-06,0,0,0,0
Norte,AM,2020-03-07,0,0,0,0
Norte,AM,2020-03-08,0,0,0,0
Norte,AM,2020-03-09,0,0,0,0
Norte,AM,2020-03-10,0,0,0,0
Norte,AM,2020-03-11,0,0,0,0
Norte,AM,2020-03-12,0,0,0,0
Norte,AM,2020-03-13,0,0,0,0
Norte,AM,2020-03-14,0,0,0,0
Norte,AM,2020-03-15,1,1,0,0
Norte,AM,2020-03-16,0,1,0,0
Norte,AM,2020-03-17,0,1,0,0
Norte,AM,2020-03-18,0,1,0,0
Norte,AM,2020-03-19,2,3,0,0
Norte,AM,2020-03-20,0,3,0,0
Norte,AM,2020-03-21,8,11,0,0
Norte,AM,2020-03-22,15,26,0,0
Norte,AM,2020-03-23,6,32,0,0
Norte,AM,2020-03-24,15,47,0,0
Norte,AM,2020-03-25,7,54,1,1
Norte,AM,2020-03-26,13,67,0,1
Norte,AM,2020-03-27,14,81,0,1
Norte,AM,2020-03-28,30,111,0,1
Norte,AM,2020-03-29,29,140,0,1
Norte,AM,2020-03-30,11,151,0,1
Norte,AM,2020-03-31,24,175,2,3
Norte,AM,2020-04-01,25,200,0,3
Norte,AM,2020-04-02,29,229,0,3
Norte,AM,2020-04-03,31,260,4,7
Norte,AM,2020-04-04,51,311,5,12
Norte,AM,2020-04-05,106,417,2,14
Norte,AM,2020-04-06,115,532,5,19
Norte,AM,2020-04-07,104,636,4,23
Norte,AM,2020-04-08,168,804,7,30
Norte,AM,2020-04-09,95,899,10,40
Norte,AM,2020-04-10,82,981,10,50
Norte,AM,2020-04-11,69,1050,3,53
Norte,AM,2020-04-12,156,1206,9,62
Norte,AM,2020-04-13,69,1275,9,71
Norte,AM,2020-04-14,209,1484,19,90
Norte,AM,2020-04-15,70,1554,16,106
Norte,AM,2020-04-16,165,1719,18,124
Norte,AM,2020-04-17,90,1809,21,145
Norte,AM,2020-04-18,88,1897,16,161
Norte,AM,2020-04-19,147,2044,21,182
Norte,AM,2020-04-20,116,2160,3,185
Norte,AM,2020-04-21,110,2270,8,193
Norte,AM,2020-04-22,209,2479,14,207
Norte,AM,2020-04-23,409,2888,27,234
Norte,AM,2020-04-24,306,3194,21,255
Norte,AM,2020-04-25,441,3635,32,287
Norte,AM,2020-04-26,198,3833,17,304
Norte,AM,2020-04-27,95,3928,16,320
Norte,AM,2020-04-28,409,4337,31,351
Norte,AM,2020-04-29,464,4801,29,380
Norte,AM,2020-04-30,453,5254,45,425
Norte,AM,2020-05-01,469,5723,51,476
Norte,AM,2020-05-02,339,6062,25,501
Norte,AM,2020-05-03,621,6683,47,548
Norte,AM,2020-05-04,559,7242,36,584
Norte,AM,2020-05-05,867,8109,65,649
Norte,AM,2020-05-06,1134,9243,102,751
Norte,RR,2020-01-30,0,0,0,0
Norte,RR,2020-01-31,0,0,0,0
Norte,RR,2020-02-01,0,0,0,0
Norte,RR,2020-02-02,0,0,0,0
Norte,RR,2020-02-03,0,0,0,0
Norte,RR,2020-02-04,0,0,0,0
Norte,RR,2020-02-05,0,0,0,0
Norte,RR,2020-02-06,0,0,0,0
Norte,RR,2020-02-07,0,0,0,0
Norte,RR,2020-02-08,0,0,0,0
Norte,RR,2020-02-09,0,0,0,0
Norte,RR,2020-02-10,0,0,0,0
Norte,RR,2020-02-11,0,0,0,0
Norte,RR,2020-02-12,0,0,0,0
Norte,RR,2020-02-13,0,0,0,0
Norte,RR,2020-02-14,0,0,0,0
Norte,RR,2020-02-15,0,0,0,0
Norte,RR,2020-02-16,0,0,0,0
Norte,RR,2020-02-17,0,0,0,0
Norte,RR,2020-02-18,0,0,0,0
Norte,RR,2020-02-19,0,0,0,0
Norte,RR,2020-02-20,0,0,0,0
Norte,RR,2020-02-21,0,0,0,0
Norte,RR,2020-02-22,0,0,0,0
Norte,RR,2020-02-23,0,0,0,0
Norte,RR,2020-02-24,0,0,0,0
Norte,RR,2020-02-25,0,0,0,0
Norte,RR,2020-02-26,0,0,0,0
Norte,RR,2020-02-27,0,0,0,0
Norte,RR,2020-02-28,0,0,0,0
Norte,RR,2020-02-29,0,0,0,0
Norte,RR,2020-03-01,0,0,0,0
Norte,RR,2020-03-02,0,0,0,0
Norte,RR,2020-03-03,0,0,0,0
Norte,RR,2020-03-04,0,0,0,0
Norte,RR,2020-03-05,0,0,0,0
Norte,RR,2020-03-06,0,0,0,0
Norte,RR,2020-03-07,0,0,0,0
Norte,RR,2020-03-08,0,0,0,0
Norte,RR,2020-03-09,0,0,0,0
Norte,RR,2020-03-10,0,0,0,0
Norte,RR,2020-03-11,0,0,0,0
Norte,RR,2020-03-12,0,0,0,0
Norte,RR,2020-03-13,0,0,0,0
Norte,RR,2020-03-14,0,0,0,0
Norte,RR,2020-03-15,0,0,0,0
Norte,RR,2020-03-16,0,0,0,0
Norte,RR,2020-03-17,0,0,0,0
Norte,RR,2020-03-18,0,0,0,0
Norte,RR,2020-03-19,0,0,0,0
Norte,RR,2020-03-20,0,0,0,0
Norte,RR,2020-03-21,0,0,0,0
Norte,RR,2020-03-22,2,2,0,0
Norte,RR,2020-03-23,0,2,0,0
Norte,RR,2020-03-24,0,2,0,0
Norte,RR,2020-03-25,6,8,0,0
Norte,RR,2020-03-26,0,8,0,0
Norte,RR,2020-03-27,2,10,0,0
Norte,RR,2020-03-28,2,12,0,0
Norte,RR,2020-03-29,4,16,0,0
Norte,RR,2020-03-30,0,16,0,0
Norte,RR,2020-03-31,0,16,0,0
Norte,RR,2020-04-01,6,22,0,0
Norte,RR,2020-04-02,4,26,0,0
Norte,RR,2020-04-03,4,30,0,0
Norte,RR,2020-04-04,7,37,1,1
Norte,RR,2020-04-05,5,42,0,1
Norte,RR,2020-04-06,0,42,0,1
Norte,RR,2020-04-07,0,42,0,1
Norte,RR,2020-04-08,7,49,0,1
Norte,RR,2020-04-09,3,52,0,1
Norte,RR,2020-04-10,11,63,2,3
Norte,RR,2020-04-11,12,75,0,3
Norte,RR,2020-04-12,4,79,0,3
Norte,RR,2020-04-13,4,83,0,3
Norte,RR,2020-04-14,30,113,0,3
Norte,RR,2020-04-15,1,114,0,3
Norte,RR,2020-04-16,28,142,0,3
Norte,RR,2020-04-17,22,164,0,3
Norte,RR,2020-04-18,37,201,0,3
Norte,RR,2020-04-19,21,222,0,3
Norte,RR,2020-04-20,22,244,0,3
Norte,RR,2020-04-21,3,247,0,3
Norte,RR,2020-04-22,33,280,0,3
Norte,RR,2020-04-23,17,297,0,3
Norte,RR,2020-04-24,7,304,0,3
Norte,RR,2020-04-25,41,345,0,3
Norte,RR,2020-04-26,56,401,1,4
Norte,RR,2020-04-27,6,407,0,4
Norte,RR,2020-04-28,18,425,2,6
Norte,RR,2020-04-29,27,452,0,6
Norte,RR,2020-04-30,67,519,1,7
Norte,RR,2020-05-01,83,602,1,8
Norte,RR,2020-05-02,66,668,1,9
Norte,RR,2020-05-03,72,740,2,11
Norte,RR,2020-05-04,66,806,0,11
Norte,RR,2020-05-05,63,869,0,11
Norte,RR,2020-05-06,63,932,2,13
Norte,PA,2020-01-30,0,0,0,0
Norte,PA,2020-01-31,0,0,0,0
Norte,PA,2020-02-01,0,0,0,0
Norte,PA,2020-02-02,0,0,0,0
Norte,PA,2020-02-03,0,0,0,0
Norte,PA,2020-02-04,0,0,0,0
Norte,PA,2020-02-05,0,0,0,0
Norte,PA,2020-02-06,0,0,0,0
Norte,PA,2020-02-07,0,0,0,0
Norte,PA,2020-02-08,0,0,0,0
Norte,PA,2020-02-09,0,0,0,0
Norte,PA,2020-02-10,0,0,0,0
Norte,PA,2020-02-11,0,0,0,0
Norte,PA,2020-02-12,0,0,0,0
Norte,PA,2020-02-13,0,0,0,0
Norte,PA,2020-02-14,0,0,0,0
Norte,PA,2020-02-15,0,0,0,0
Norte,PA,2020-02-16,0,0,0,0
Norte,PA,2020-02-17,0,0,0,0
Norte,PA,2020-02-18,0,0,0,0
Norte,PA,2020-02-19,0,0,0,0
Norte,PA,2020-02-20,0,0,0,0
Norte,PA,2020-02-21,0,0,0,0
Norte,PA,2020-02-22,0,0,0,0
Norte,PA,2020-02-23,0,0,0,0
Norte,PA,2020-02-24,0,0,0,0
Norte,PA,2020-02-25,0,0,0,0
Norte,PA,2020-02-26,0,0,0,0
Norte,PA,2020-02-27,0,0,0,0
Norte,PA,2020-02-28,0,0,0,0
Norte,PA,2020-02-29,0,0,0,0
Norte,PA,2020-03-01,0,0,0,0
Norte,PA,2020-03-02,0,0,0,0
Norte,PA,2020-03-03,0,0,0,0
Norte,PA,2020-03-04,0,0,0,0
Norte,PA,2020-03-05,0,0,0,0
Norte,PA,2020-03-06,0,0,0,0
Norte,PA,2020-03-07,0,0,0,0
Norte,PA,2020-03-08,0,0,0,0
Norte,PA,2020-03-09,0,0,0,0
Norte,PA,2020-03-10,0,0,0,0
Norte,PA,2020-03-11,0,0,0,0
Norte,PA,2020-03-12,0,0,0,0
Norte,PA,2020-03-13,0,0,0,0
Norte,PA,2020-03-14,0,0,0,0
Norte,PA,2020-03-15,0,0,0,0
Norte,PA,2020-03-16,0,0,0,0
Norte,PA,2020-03-17,0,0,0,0
Norte,PA,2020-03-18,0,0,0,0
Norte,PA,2020-03-19,1,1,0,0
Norte,PA,2020-03-20,1,2,0,0
Norte,PA,2020-03-21,0,2,0,0
Norte,PA,2020-03-22,2,4,0,0
Norte,PA,2020-03-23,1,5,0,0
Norte,PA,2020-03-24,0,5,0,0
Norte,PA,2020-03-25,2,7,0,0
Norte,PA,2020-03-26,6,13,0,0
Norte,PA,2020-03-27,0,13,0,0
Norte,PA,2020-03-28,4,17,0,0
Norte,PA,2020-03-29,1,18,0,0
Norte,PA,2020-03-30,3,21,0,0
Norte,PA,2020-03-31,11,32,0,0
Norte,PA,2020-04-01,8,40,1,1
Norte,PA,2020-04-02,6,46,0,1
Norte,PA,2020-04-03,4,50,0,1
Norte,PA,2020-04-04,30,80,0,1
Norte,PA,2020-04-05,6,86,0,1
Norte,PA,2020-04-06,16,102,2,3
Norte,PA,2020-04-07,36,138,2,5
Norte,PA,2020-04-08,29,167,1,6
Norte,PA,2020-04-09,1,168,1,7
Norte,PA,2020-04-10,2,170,2,9
Norte,PA,2020-04-11,47,217,1,10
Norte,PA,2020-04-12,29,246,3,13
Norte,PA,2020-04-13,24,270,2,15
Norte,PA,2020-04-14,53,323,4,19
Norte,PA,2020-04-15,61,384,2,21
Norte,PA,2020-04-16,54,438,3,24
Norte,PA,2020-04-17,119,557,2,26
Norte,PA,2020-04-18,83,640,7,33
Norte,PA,2020-04-19,45,685,1,34
Norte,PA,2020-04-20,217,902,1,35
Norte,PA,2020-04-21,124,1026,3,38
Norte,PA,2020-04-22,169,1195,5,43
Norte,PA,2020-04-23,72,1267,10,53
Norte,PA,2020-04-24,179,1446,22,75
Norte,PA,2020-04-25,133,1579,11,86
Norte,PA,2020-04-26,288,1867,14,100
Norte,PA,2020-04-27,261,2128,14,114
Norte,PA,2020-04-28,134,2262,15,129
Norte,PA,2020-04-29,160,2422,8,137
Norte,PA,2020-04-30,454,2876,71,208
Norte,PA,2020-05-01,300,3176,27,235
Norte,PA,2020-05-02,284,3460,38,273
Norte,PA,2020-05-03,403,3863,36,309
Norte,PA,2020-05-04,262,4125,21,330
Norte,PA,2020-05-05,347,4472,39,369
Norte,PA,2020-05-06,545,5017,23,392
Norte,AP,2020-01-30,0,0,0,0
Norte,AP,2020-01-31,0,0,0,0
Norte,AP,2020-02-01,0,0,0,0
Norte,AP,2020-02-02,0,0,0,0
Norte,AP,2020-02-03,0,0,0,0
Norte,AP,2020-02-04,0,0,0,0
Norte,AP,2020-02-05,0,0,0,0
Norte,AP,2020-02-06,0,0,0,0
Norte,AP,2020-02-07,0,0,0,0
Norte,AP,2020-02-08,0,0,0,0
Norte,AP,2020-02-09,0,0,0,0
Norte,AP,2020-02-10,0,0,0,0
Norte,AP,2020-02-11,0,0,0,0
Norte,AP,2020-02-12,0,0,0,0
Norte,AP,2020-02-13,0,0,0,0
Norte,AP,2020-02-14,0,0,0,0
Norte,AP,2020-02-15,0,0,0,0
Norte,AP,2020-02-16,0,0,0,0
Norte,AP,2020-02-17,0,0,0,0
Norte,AP,2020-02-18,0,0,0,0
Norte,AP,2020-02-19,0,0,0,0
Norte,AP,2020-02-20,0,0,0,0
Norte,AP,2020-02-21,0,0,0,0
Norte,AP,2020-02-22,0,0,0,0
Norte,AP,2020-02-23,0,0,0,0
Norte,AP,2020-02-24,0,0,0,0
Norte,AP,2020-02-25,0,0,0,0
Norte,AP,2020-02-26,0,0,0,0
Norte,AP,2020-02-27,0,0,0,0
Norte,AP,2020-02-28,0,0,0,0
Norte,AP,2020-02-29,0,0,0,0
Norte,AP,2020-03-01,0,0,0,0
Norte,AP,2020-03-02,0,0,0,0
Norte,AP,2020-03-03,0,0,0,0
Norte,AP,2020-03-04,0,0,0,0
Norte,AP,2020-03-05,0,0,0,0
Norte,AP,2020-03-06,0,0,0,0
Norte,AP,2020-03-07,0,0,0,0
Norte,AP,2020-03-08,0,0,0,0
Norte,AP,2020-03-09,0,0,0,0
Norte,AP,2020-03-10,0,0,0,0
Norte,AP,2020-03-11,0,0,0,0
Norte,AP,2020-03-12,0,0,0,0
Norte,AP,2020-03-13,0,0,0,0
Norte,AP,2020-03-14,0,0,0,0
Norte,AP,2020-03-15,0,0,0,0
Norte,AP,2020-03-16,0,0,0,0
Norte,AP,2020-03-17,0,0,0,0
Norte,AP,2020-03-18,0,0,0,0
Norte,AP,2020-03-19,0,0,0,0
Norte,AP,2020-03-20,1,1,0,0
Norte,AP,2020-03-21,0,1,0,0
Norte,AP,2020-03-22,0,1,0,0
Norte,AP,2020-03-23,0,1,0,0
Norte,AP,2020-03-24,0,1,0,0
Norte,AP,2020-03-25,0,1,0,0
Norte,AP,2020-03-26,1,2,0,0
Norte,AP,2020-03-27,0,2,0,0
Norte,AP,2020-03-28,2,4,0,0
Norte,AP,2020-03-29,0,4,0,0
Norte,AP,2020-03-30,4,8,0,0
Norte,AP,2020-03-31,2,10,0,0
Norte,AP,2020-04-01,1,11,0,0
Norte,AP,2020-04-02,0,11,0,0
Norte,AP,2020-04-03,8,19,0,0
Norte,AP,2020-04-04,9,28,1,1
Norte,AP,2020-04-05,1,29,1,2
Norte,AP,2020-04-06,5,34,0,2
Norte,AP,2020-04-07,14,48,0,2
Norte,AP,2020-04-08,59,107,0,2
Norte,AP,2020-04-09,21,128,0,2
Norte,AP,2020-04-10,38,166,0,2
Norte,AP,2020-04-11,27,193,1,3
Norte,AP,2020-04-12,37,230,2,5
Norte,AP,2020-04-13,12,242,0,5
Norte,AP,2020-04-14,65,307,1,6
Norte,AP,2020-04-15,27,334,1,7
Norte,AP,2020-04-16,28,362,2,9
Norte,AP,2020-04-17,8,370,1,10
Norte,AP,2020-04-18,23,393,0,10
Norte,AP,2020-04-19,23,416,1,11
Norte,AP,2020-04-20,17,433,2,13
Norte,AP,2020-04-21,24,457,0,13
Norte,AP,2020-04-22,22,479,1,14
Norte,AP,2020-04-23,69,548,2,16
Norte,AP,2020-04-24,85,633,2,18
Norte,AP,2020-04-25,52,685,1,19
Norte,AP,2020-04-26,113,798,2,21
Norte,AP,2020-04-27,44,842,5,26
Norte,AP,2020-04-28,76,918,2,28
Norte,AP,2020-04-29,98,1016,3,31
Norte,AP,2020-04-30,64,1080,3,34
Norte,AP,2020-05-01,41,1121,3,37
Norte,AP,2020-05-02,66,1187,3,40
Norte,AP,2020-05-03,295,1482,3,43
Norte,AP,2020-05-04,251,1733,6,49
Norte,AP,2020-05-05,198,1931,6,55
Norte,AP,2020-05-06,115,2046,1,56
Norte,TO,2020-01-30,0,0,0,0
Norte,TO,2020-01-31,0,0,0,0
Norte,TO,2020-02-01,0,0,0,0
Norte,TO,2020-02-02,0,0,0,0
Norte,TO,2020-02-03,0,0,0,0
Norte,TO,2020-02-04,0,0,0,0
Norte,TO,2020-02-05,0,0,0,0
Norte,TO,2020-02-06,0,0,0,0
Norte,TO,2020-02-07,0,0,0,0
Norte,TO,2020-02-08,0,0,0,0
Norte,TO,2020-02-09,0,0,0,0
Norte,TO,2020-02-10,0,0,0,0
Norte,TO,2020-02-11,0,0,0,0
Norte,TO,2020-02-12,0,0,0,0
Norte,TO,2020-02-13,0,0,0,0
Norte,TO,2020-02-14,0,0,0,0
Norte,TO,2020-02-15,0,0,0,0
Norte,TO,2020-02-16,0,0,0,0
Norte,TO,2020-02-17,0,0,0,0
Norte,TO,2020-02-18,0,0,0,0
Norte,TO,2020-02-19,0,0,0,0
Norte,TO,2020-02-20,0,0,0,0
Norte,TO,2020-02-21,0,0,0,0
Norte,TO,2020-02-22,0,0,0,0
Norte,TO,2020-02-23,0,0,0,0
Norte,TO,2020-02-24,0,0,0,0
Norte,TO,2020-02-25,0,0,0,0
Norte,TO,2020-02-26,0,0,0,0
Norte,TO,2020-02-27,0,0,0,0
Norte,TO,2020-02-28,0,0,0,0
Norte,TO,2020-02-29,0,0,0,0
Norte,TO,2020-03-01,0,0,0,0
Norte,TO,2020-03-02,0,0,0,0
Norte,TO,2020-03-03,0,0,0,0
Norte,TO,2020-03-04,0,0,0,0
Norte,TO,2020-03-05,0,0,0,0
Norte,TO,2020-03-06,0,0,0,0
Norte,TO,2020-03-07,0,0,0,0
Norte,TO,2020-03-08,0,0,0,0
Norte,TO,2020-03-09,0,0,0,0
Norte,TO,2020-03-10,0,0,0,0
Norte,TO,2020-03-11,0,0,0,0
